Assessment Name,URL,Duration,Remote Testing Support,Adaptive/IRT,Test Type,Skills,Description
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Approximate Completion Time in minutes = 9,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications."
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Approximate Completion Time in minutes = 5,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts."
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Approximate Completion Time in minutes = 9,Yes,No,K,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ","Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries."
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Approximate Completion Time in minutes = 8,Yes,No,S,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ",Simulated data entry test that measures the ability to process payables and vendor invoices.
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Approximate Completion Time in minutes = 13,Yes,No,K,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ",Multiple-choice test that measures the knowledge of processing receivables and invoices.
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Approximate Completion Time in minutes = 8,Yes,No,S,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ",Simulated data entry test that measures the ability to process receivables and invoices.
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,Approximate Completion Time in minutes = 10,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects."
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,Approximate Completion Time in minutes = 10,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing."
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,Approximate Completion Time in minutes = 12,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication."
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Approximate Completion Time in minutes = 15,Yes,No,S,"Entry-Level, ",Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,Approximate Completion Time in minutes = 11,Yes,No,S,N/A,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response."
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,Approximate Completion Time in minutes = 13,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency."
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,Approximate Completion Time in minutes = 13,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class."
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,Approximate Completion Time in minutes = 5,Yes,No,"K
S","Entry-Level, ",The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,Approximate Completion Time in minutes = 8,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ",Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,Approximate Completion Time in minutes = 7,Yes,No,K,"Graduate,  Manager,  Mid-Professional,  Professional Individual Contributor,  Supervisor, ","Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety."
